Код компании;Наименование компании
7366;Стилм ООО С-2
7373;Клиент 7373
7380;Стилс Украина ООО С-2
7396;СТКМ  ТОВ
7400;СТОМ НПФ ООО С-2
7402;Сторожук ООО
7403;СТОРУМ ООО довг.годовая
7404;Сторхауз Украина ООО С1
7417;Строительная компания  ООО В-2
7431;Стройагромаш МК ООО С-2
7456;БУДМАТЕРІАЛИ ТОВ
7473;Будсервис ПКФ ООО С-2
7480;БУДТРАНСПОСТАЧ. ВКФ. ТОВ
7513;Сумская насосная техника ООО С-2
7517;Сумской машиностроительный завод ООО С2
7538;Сущенко И.Е.С-2  не пл
7539;СФЕРА СПБ ООО
7559;Клиент 7559
7568;Тайфу-Метеор   ООО  В1
7571;Такмет-групп С-1
7573;Клиент 7573
7593;Клиент 7593
7594;Тантра ООО С-2
7610;Таста-Лиски Трубодеталь ООО С-2
7613;Татра Юг ООО С-1
7621;ТВиД  ООО Агенство С2
7642;ТЕЛУР ІВК. ТОВ
7652;Клиент 7652
7658;Теплобак НВП ТОВ
7672;Клиент 7672
7680;Тера-Д ООО  /кускиииии трубы/С-2
7704;Термокомплекс ТОВ С-2
7720;Теско ЧП  С-2
7730;Клиент 7730
7742;Техинпром фирма ООО С-2
7753;Техма-М ООО С-2
7756;ТЕХМАШ ВИРОБНИЧЕ ПІДПРИЄМСТВО
7758;Клиент 7758
7762;Клиент 7762
7770;Технефтегазсервис ООО С-2
7790;ТЕХНОЗБАГАЧЕННЯ ТПО С-1
7797;Клиент 7797
7798;Клиент 7798
7830;ТЕХНОПОЛЬ ВК ПП   А1
7851;ТЕХНОТАЙМ ТОВ С-2
7864;ТЕХНОЭКС ООО НПП  В-2
7882;Техпромсервис ООО ЛТД С1
7884;ТЕХ-РІШЕННЯ ООО
7887;Техсервис ТОВ НВП С-2 (почта нет)
7889;ТЕХСЕРВИС. щорск С-2
7903;Техэнергоцентр ООО С-1
7911;ТИМ СТАЛЬ ООО  С-2
7914;Тиммет ПКФ ООО С-2 ГОД Д (НЕ РАБОТАЮТ)
7917;Тимофеев Евгений Валериевич ЧЛ С-2
7922;ТИМОШЕНКО С. И. платник  С-2
7925;ТИСЕР ООО С-1
7939;Клиент 7939
7948;ТМА ФІРМА. ТОВ
7949;Клиент 7949
7951;ТМК-Днепр ООО не перегружать!!!!! В2
7971;ТОМЧУК А.М. ПЛ. + кор-ка обяз В-1
7980;ТОПТУЛ ООО мон. В-2
8048;Тотмаш групп ООО  С-2
8059;Тракторзапчасть Роменск з-д С-2
8097;Клиент 8097
8105;Трансуголь ПП ООО С-1
8125;ТРЕК-ДНЕПР ООО(аренда) С-2
8166;Трубоизолкомплект  ТД ООО А-1
8179;Трубосталь НПО ООО А-2 Счет с печаью
8187;Клиент 8187
8188;ТРУБОТОРГ ІНВЕСТ
8206;Турбивмашбуд ООО С-2
8220;Углепром ООО ПТК всегда внебольш.ПЛЮСЕ В-1
8232;Клиент 8232
8260;Украинская аграрная техника ЧП  длину В-1
8270;Клиент 8270
8285;Украинский стальной холдинг ГодоВ ДОВ С-2
8286;Украинский трубный завод  ООО В-2
8288;Клиент 8288
8300;УКРБРОНЗА ТОВ С-2
8305;Укрбудмаш завод ООО С-2
8306;Укрбудмет ПТК ООО С-2
8318;Укргазкомплект -2010 ТОВ С-2
8338;УКР-ЗАПЧАСТЬ ТОВ
8339;Укризолит ТОВ  НВП С-2
8342;УКРИНМАШ НПП ООО С-2
8349;Клиент 8349
8378;УКРМЕТ-ПРОКАТ  ООО В-2
8389;УКРМЕТТРЕЙД ООО   В2
8391;Укрминерал инвест ООО В2 ГОД Д
8393;Укрнасоссервис  Торговый дом В-2
8396;УКРНЕФТЕМАШ ЕРС ООО С-2
8422;Укрпромсервис ООО НПО С-2 Синергия
8448;УКРРЕМПРОМ
8488;УКРсплав Тищенко ООО В-1
8489;Укрсплав Торговый Дом ООО С-2
8490;УКРСТАЛЬ ДНІПРО ЗАВОД МЕТАЛОКОНСТРУКЦІЙ
8503;Клиент 8503
8512;Укрстарлайн ООО С-2 ГОД Д
8513;УКРСТИЛ ЧП С-1 ГОД Д
8516;Укрстилсервис ТД ООО С-2
8526;Укрстройстандарт ООО С-1
8554;Укрторгобладнання ЧП ПК
8588;Укрэнергоремонт ЧАО С2
8591;Укрэнергочермет завод ООО С-2
8605;УМТК ТОВ С-2
8623;Клиент 8623
8626;УНИВЕРСАЛЬНЫЕ ИНЖЕНЕРНЫЕ РЕШЕНИЯ. ТОВ
8629;Уникаметапласт ООО С-2
8630;Клиент 8630
8652;Клиент 8652
8663;Устимовский котельномеханический завод ООО
8670;Фаворит АК  ООО А-1 месяц
8682;Клиент 8682
8696;Фармко ком-я ООО С2
8702;Фаундри ТОВ
8703;Фащук Ю. не пл
8731;Клиент 8731
8738;ФЕРРО МАКС ПРОТЕКТ киевск.филия
8776;Клиент 8776
8809;Формат металл ООО В-2
8814;Форпост-М ООО С-1
8817;Форсаж-1 ПВКФ С-1
8823;Форт стил ООО  А-1
8835;Клиент 8835
8837;ФРЕГАТ ЗАВОД ПАТ (Влад. Вас)  А-2
8839;Фрегат ООО Новом. фирма С-2
8845;ФРИ ЄНЕРДЖИ ЛАЙФ ООО
8846;ФРОГ ТОВ
8859;Хавестер ООО С2
8864;ХАРВЕРСТ Харьковский станостроительн з-дС2
8866;Харвест ПГ ТОВ С-2
8874;Хартехпром-97 ЧФ С1
8889;ХАРЬКОВПРОДМАШ ПАТ С-2
8891;Харьковская Л.Н. С-2
8895;Харьковский завод электрических машинОООС2
8898;Харьковский з-д транспортн. устаткув. С-1
8900;Харьковский котельно-мех-ский завод ФУ В-2
8901;Харьковский подшипниковый завод ПАО
8902;Харьковский тракторный з-д ПАТ С-2
8907;Харьковтранс  НВК  ТОВ
8920;Химмаш  Коростенский з-д химич. машин В1
8940;ХЛАДАР-ТЕХСОЮЗ ООО С-2
8947;Холодногорская ИК №18 В-2
8948;ХОРНЕТ-ПЛЮС
8950;Хорольский механический завод В-1
8960;ХС Групп ЧП А-1
8965;Клиент 8965
9002;Цинор груп ООО С-2
9008;ЦКС ООО В-2
9046;Черкассыэлеватормаш ТОВ
9047;Черкассыэлеваторторг ООО А2
9070;ЧИП ЧП  С-1
9076;Чорная А.С. ЧП С-2
9103;Шато ЧП Годовая ДОВ. С1
9128;Шенцевалов Д.С. не пл С-2
9134;Шилин В.В. С2
9145;Шовкопляс А В С-2
9159;Клиент 9159
9171;Клиент 9171
9175;Эволюционер ООО С-2
9192;Эквипмаш ООО С-2
9195;Клиент 9195
9208;Клиент 9208
9215;Экоресурс ТК ТОВ С2
9260;Эксферум ООО С-1
9261;ЭЛАСТОТЕК ТОВ С-2
9264;Элеваторные системы НВП ООО С-2 НЕ РАБОТАЮТ
9265;Элеваторные системы ООО С-2  Кусочники!!!!
9266;Элеваторные технологии будущего ООО С-2
9267;Элеваторпромсервис ООО  А-3
9289;Электропромремонт ВКФ ООО
9320;Элит-сервис 2016 ООО С-2
9330;Эльворти ПАТ В-2
9342;Энел Украина ООО  С-2
9364;Клиент 9364
9373;ЕНЕРГОІНВЕСТ ТОРГІВЕЛЬНИЙ ДІМ  дог по довер
9380;Энергомаштрубсервис ООО  А-3
9382;Энергомехкомплект ООО С-2
9399;Энерго-С ООО С-2
9415;Энерготех ООО С-2
9436;Эрго груп  ТОВ С-2
9448;Эста ЛТД  ООО В-2
9450;Клиент 9450
9490;Югсталь ООО С-1
9559;Клиент 9559
9583;ЮС 1+1 не платник  С-2
9591;Клиент 9591
9603;Клиент 9603
9611;Якименко В.П С-2
9621;Ярмак Владимир Иванович платн А-3 РЕДУЦ НЕ
9628;Сталь контакт ТК ТОВ  ГОДД
9631;ПІДЙОМСПЕЦТЕХНІКА ТОВ С-2
9632;Клиент 9632
9641;Клиент 9641
9650;ТЕЛОС ГРУП ТОВ
9651;СБМ-ІНЖИНІРИНГ НВП  ТОВ С-2
9653;Південтрансбудкомплект ТОВ
9656;СТИЛМАШ. ТОВ
9657;СЯЙВО ПРАТ
9662;КОРПОРАЦІЯ МЕТАЛ ТОВ
9670;РУБІН ЛТД
9671;Клиент 9671
9687;АККОРД НВП. ТОВ
9696;ПОЛІМЕТГРУП. ТД ТОВ
9702;Клиент 9702
9707;ПРАЙМ ПОЛІМЕР
9708;АРИАНТ ЛТД. ТОВ
9721;Клиент 9721
9722;ПІЛОТ. ТОВ
9723;КОМПАНІЯ ТМА
9724;ТЕХУНIВЕРСАЛ ТОВ ВП
9728;Гаркуша Олексій Михайлович
9729;Степанчук Олег Миколайович
9737;УКРНАСОСПРОМ ТОВ
9742;ЛТАВА ЗАВОД ПРАТ
9750;Велес  1991 ТОВ
9751;Клиент 9751
9754;Клиент 9754
9758;Завадський Вячеслав Станіславович
9761;ТIЛС ВКЦ ТОВ
9769;НВП МОДУЛЬ. ТОВ
9772;ЄВРАЗТРЕЙД ГРУП ЛТД. ТОВ
9786;Буд Стандарт 2016
9787;Гойденко Сергій Вікторович
9788;Вентиляційні системи ПрАТ не работают
9793;РОНА ТОВ. ТД
9796;ТЕХНОЛОДЖІС ВСФ ТОВ
9798;УСМ ДНІПРО
9812;КРИЛОВ СЕРГІЙ ОЛЕКСІЙОВИЧ ФОП
9814;Клиент 9814
9820;Клиент 9820
9823;Клиент 9823
9826;МЕТАЛБУД УКРАЇНА. ТОВ
9828;Эгритек ТД
9830;Клиент 9830
9831;Сулицкий Александр Сергеевич
9835;АМЕТПРОМ ВКП ТОВ
9836;Клиент 9836
9838;СИСТЕМА ГРУП НВФ
9839;СТАЛЕКС К ТОВ
9843;ВАРТО ВКП. ТОВ
9845;ІГЛС-СЕРВIС ВКП ТОВ
9847;Кононченко Валерій Вікторович
9852;Клиент 9852
9854;СУПУТНИК НВП. ТОВ
9857;ТЕХМЕТКОМПЛЕКТ ТОВ
9859;Клиент 9859
9863;ЄВРО-МАШ ТОВ
9864;РОВА ТРЕЙД ГРУП ТОВ
9866;УП ЕКСПОРТ. ТОВ
9867;СХІДПЛАСТ ТОВ
9869;ТЕПЛОАРМАТУРА ТОВ
9870;Клиент 9870
9879;Інтерагро ТОВ
9883;Клиент 9883
9887;Клиент 9887
9888;АЛЬТЕП.КОМ ТОВ
9889;ОСНАСТКА ПЛЮС ТОВ
9890;БЕСТТРЕЙДЗ ТОВ
9892;Профметал Трейд ТОВ
9896;РЕШОТКА С.П. ФОП
9899;Клиент 9899
9900;РУДIТ ВП. ТОВ
9903;АГРОМЕТАЛ-ХОЛД ТОВ
9908;ТМС - ТРЕЙДІНГ ТОВ
9910;МИАН ТОВ
9912;СТАНIШЕВСЬКА К.Ю. не пл
9914;СТАТУС ПАЙП ТОВ
9917;ПРОМТЕХНІКА ВО ТОВ
9919;Клиент 9919
9921;АЛЬФАМЕТТРЕЙД ПЛЮС. ТОВ
9926;ГЕРМЕС НТД ТОВ
9927;Клиент 9927
9929;Клиент 9929
9936;ФОРСТОР IНДАСТРI ТОВ
9937;Клиент 9937
9941;СОФІЇВКА - МОНТАЖ ТОВ
9942;СПЕЦТРЕЙД ЛТД ТОВ
9943;ЗЕНІТ ПП
9944;Сирант ОВ ФОП
9946;УКР-ЕЛІТ ПЛЮС
9948;ЛЕОН ВК ТД ТОВ
9951;Клиент 9951
9953;ХВЕСЮК В.О. ФОП
9962;ДАРФІН ТОВ
9968;РЕНЕСАНС-ТЕХ ТОВ
9972;Клиент 9972
9973;ІНТЕРЕНЕРГО ІНЖИНІРИНГ ТОВ
9975;ВАРІАНТ ВЕСТ ТОВ
9976;МЕТЕД КОМПАНI ТОВ
9979;МЕТАЛ-ЛАЙН ЛТД ТОВ
9981;Клиент 9981
9985;МЕТТРЕЙД УКРАЇНА ТВК  ТОВ
9987;ЛЕАРТ ТД ТОВ
9990;ЮНІКРОФТ ТОВ
9991;Клиент 9991
9993;Клиент 9993
9994;КОВІНТЕК ТОВ
9996;Спека В.А.
9998;КОРСА ТРЕЙД УКРАЇНА ТОВ
9999;УКРВІНМЕТ ТОВ
10001;Днепровский завод металлоизделий ТОВ
10003;СПЕЦБУДМАШ ТОВ
10004;СТАЛЬ ГРУП СПЕКТР ТОВ
10009;ФЕРКОМ УКРАЇНА ТОВ
10012;ТРУБОІЗОЛ
10015;Клиент 10015
10017;ЛЕДА ВЕСТ ТОВ
10019;Клиент 10019
10020;КІРІЧЕНКО СЕРГІЙ ВАЛЕРІЙОВИЧ
10021;Клиент 10021
10022;Клиент 10022
10023;Клиент 10023
10024;АВАНГАРД-КОМПАНІ. ТОВ
10027;Клиент 10027
10029;ВОСХОД  ВО ПрАТ
10030;Экипаж Холдинг ООО  (правильный)
10031;Клиент 10031
10033;Клиент 10033
10034;АЗІМУТ ВП ТОВ
10036;Клиент 10036
10038;Клиент 10038
10039;УКРАИНСКАЯ СТАЛЕПРОМ КОМ-Я СП ООО
10040;Клиент 10040
10041;Клиент 10041
10042;НОВИЙ СТАНДАРТ ВК ТОВ
10043;Клиент 10043
10046;Клиент 10046
10048;Клиент 10048
10050;Клиент 10050
10051;Клиент 10051
10052;Клиент 10052
10053;Клиент 10053
10054;ЕЛМАКС ГРУП  ТОВ
10055;Укрнафтозапчастина . ТОВ
10057;АЛЄКСЄЄВ ОЛЕКСІЙ ВІКТОРОВИЧ
10058;ЕВРОТРЕЙД ТД ТОВ
10059;Клиент 10059
10061;КАРСУС ТОВ
10062;Клиент 10062
10063;АТОН ПНВП
10064;Клиент 10064
10065;Клиент 10065
10067;РІСТЕЙЛ ТОВ
10068;Клиент 10068
10070;Клиент 10070
10072;УКРТРЕЙДКАМПАНІ  ТОВ
10073;АВ-ПРОМ ТОВ
10074;ДНІПРОПРОЕКТБУД. ТОВ
10077;Клиент 10077
10078;БІЛОЦЕРКІВМАЗ ПП
10079;Клиент 10079
10081;Клиент 10081
10082;СТАНУМ ВП ТОВ
10083;Клиент 10083
10085;Клиент 10085
10086;ТС МЕТАЛ ТОВ
10087;МВ  СТАЛЬ ТД. ТОВ
10088;УКР-МЕТАЛ КОМПАНІ. ТОВ
10090;Клиент 10090
10091;Клиент 10091
10092;ДНІПРО-СПЕЦЕМАЛЬ. ТОВ
10094;Клиент 10094
10095;ТАНЛЕКС ТОВ
10097;ОНУР СТІЛ ІНТЕРНЕШНЛ  ТОВ
10098;Клиент 10098
10099;Клиент 10099
10102;Клиент 10102
10103;Днепржелдорснаб ТОВ
10105;ГС МЕТАЛ ТОВ
10107;Клиент 10107
10108;Миллада ЛТД ТОВ
10110;Клиент 10110
10111;АЛЬЯНС МЕТАЛ СМЦ ТОВ - порезка ЛИДЕР КПК?????
10114;Клиент 10114
10115;КСС Селянське (Фермерське )Господарство
10116;РЕМОНТНО-МЕХАНІЧНА ДІЛЬНИЦЯ ТОВ
10117;ДТМ-ІНЖИНІРИНГ ТОВ
10119;Клиент 10119
10120;Клиент 10120
10121;АЛЮМАБУД
10122;Клиент 10122
10123;Клиент 10123
10126;Клиент 10126
10127;Клиент 10127
10129;Клиент 10129
10130;Клиент 10130
10131;Клиент 10131
10133;Клиент 10133
10134;Клиент 10134
10135;Клиент 10135
10136;СЕРВІСНИЙ МЕТАЛОЦЕНТР ТОВ
10137;Клиент 10137
10138;ЛЄАН ТОВ
10139;Клиент 10139
10140;Ремсільмаш  ПП
10142;СТАЛЕНІТ  УКРАЇНСЬКА КОМПАНІЯ
10144;Є Прокат
10146;Клиент 10146
10148;Клиент 10148
10150;Ступаков Артем Сергеевич
10151;Клиент 10151
10152;ЛМЗ ДНІПРО. ТОВ
10154;ИНТЕРСТИЛ ТД ТОВ
10155;Клиент 10155
10156;Клиент 10156
10157;ЕЛІТ-СЕРВІС 2019  ТОВ
10158;ДІВАЙН ТОРГ
10159;МАШСТРОЙ ТПК ТОВ
10160;Клиент 10160
10161;Вільнянський машинобудівний завод ТОВ
10163;БИЧКОВА АЛЬОНА АНАТОЛІЇВНА
10166;Клиент 10166
10167;Клиент 10167
10168;СІЛЬГОСПАГРОБУД ТОВ
10169;Клиент 10169
10170;Клиент 10170
10171;Клиент 10171
10172;Клиент 10172
10173;АЙРОНСТІЛ ТК  ТОВ
10174;Клиент 10174
10175;Клиент 10175
10177;Фортіс  ТВК   ТОВ
10178;Клиент 10178
10180;МЕТАЛ ВОРК ТОВ
10182;Клиент 10182
10186;ДИФАКТОРИ ПЛЮС  ТОВ
10187;Клиент 10187
10188;АЛЬФАГАЗ ТОВ
10189;МАКСФЕРУМБУД ТОВ
10191;Клиент 10191
10192;Клиент 10192
10194;Клиент 10194
10195;Клиент 10195
10196;АВТОКРАЗ АТ
10198;Клиент 10198
10199;РЕГІОН МЕТАЛ ПП
10200;ЕВЕРЛАСТ ТОВ
10201;Клиент 10201
10202;Арсі Трак
10203;Клиент 10203
10205;Новак В.А. ФОП
10207;Клиент 10207
10208;ДІМ СТАЛI В ТОВ
10209;Клиент 10209
10210;Клиент 10210
10211;Клиент 10211
10212;КИЇВСЬКА РУСЬ-Л.Т.Д. ТОВ
10214;Клиент 10214
10217;Клиент 10217
10218;Клиент 10218
10219;ЮКРЕЙН АРМОР ТОВ
10220;Клиент 10220
10222;Клиент 10222
10223;Клиент 10223
10224;АЙПI 2020 ТОВ
10226;Харьковська  Людмила  Миколаївна ФОП
10228;Клиент 10228
10230;Клиент 10230
10231;Клиент 10231
10232;ТРІ-ЛЕНД ТОВ
10234;КС-СТАЛЬ ТД ТОВ
10235;АРТИК СТАЛЬ ГРУПП ТОВ
10236;Клиент 10236
10237;Мартиненко С О ФОП
10238;ГІДРАВЛІК ПРОФІ
10240;Ареф'єв Дмитро Олегович ФОП
10241;МОНТАЖНИК-К ТОВ
10242;Дручковський сервіс ТОВ
10243;Клиент 10243
10244;Клиент 10244
10247;Клиент 10247
10248;ТЕХНОМАШ ЧЕРКАСИ
10249;ОКСІМЕТ ТОВ  ВАНТАЖИТЬ ТІЛЬКИ З ПОГОДЖЕННЯМ З А.В.!!
10251;ВЕК-ТОР НВП ТОВ
10252;ГАРАНТОВАНИЙ ПОКУПЕЦЬ
10253;РЕМТЕХСЕРВІС ВК ТОВ
10254;Клиент 10254
10256;ЗЕТТА ГРУП ТОВ БЕЗ СКИДОК +1500грн
10257;ДП БУД СК ТОВ
10261;Клиент 10261
10264;ВАЛМАР ТРЕЙД ТОВ
10265;Клиент 10265
10272;Перемога  ТД  ПП
10273;ВАГОВІ РІШЕННЯ ТОВ
10275;Клиент 10275
10276;АЛВИСС ООО
10277;ПРОФІКОР-8
10281;Клиент 10281
10282;СТАЛЬ-БУД УКРАЇНА ТК ТОВ
10284;КОМЕКС ТД
10285;Клиент 10285
10286;Клиент 10286
10287;Вовк Тетяна Олександрівна
10290;МЕТАЛ ПЛЮС УКРАЇНА
10295;Клиент 10295
10297;КРАМАТОРСЬКИЙ З-Д СПЕЦ. КРІПЛЕННЯ ТОВ
10300;ІНТЕЗІС
10301;ОЛКАТ ТОВ
10302;Клиент 10302
10306;НИКОС-М ТОВ
10307;Степанчук Юлія Миколаївна ЧЛ
10308;ДЖОН ДІР ТЕХНОЛОГІЇ СК ТОВ
10312;Клиент 10312
10313;Спецметаллстрой ТОВ
10314;Клиент 10314
10316;Клиент 10316
10318;Жнив-Агро ТОВ
10319;Клиент 10319
10320;МЕТАЛО ГАЛЬВА УКРАЇНА ТОВ
10321;Назарчук Інна Олександрівна ЧЛ
10324;Меркурій Агротех ТОВ
10325;Клиент 10325
10328;АЛЬФА СТІЛ ЮНІТІ ТОВ
10329;Клиент 10329
10330;РЕДУКТОРКОМСЕРВІС ТОВ
10331;РОТОПРІНТ ТОВ
10332;АЛЬЯНС АСТРА ТД ТОВ
10333;МЕТАЛ ІНВЕСТ СТАЛЬКОНСТРУКЦІЯ ТОВ
10334;РТЕС ТОВ
10335;ЮНИМЕТ ХОЛДИНГ ТОВ
10339;ЮТМК УКРАЇНА ТОВ
10340;Клиент 10340
10343;Клиент 10343
10348;Техноколор-Дніпро ТОВ
10350;ХОМЮК КАТЕРИНА АНДРІЇВНА
10351;Ковальчук Нина Сергеевна
10352;ЛІДЕР ВКП  ТОВ
10354;Клиент 10354
10355;Клиент 10355
10357;Клиент 10357
10359;ЯКИМЕНКО ТЕТЯНА АНАТОЛІЇВНА ФОП
10360;НАСОСЕЛЕКТРОМАШ ТОВ
10361;Клиент 10361
10362;Клиент 10362
10363;ПОЛТАВСЬКИЙ  ГЗК ПАТ
10364;СТАЛЬТІМА КП ТОВ
10365;Клиент 10365
10369;ОМЕГА СТАЛЬ ТОВ
10370;СТИЛ АДВАНС ТОВ
10371;Клиент 10371
10372;ПРОМ АЛЬЯНС ХОЛДИНГ ТОВ
10375;Клиент 10375
10376;АОИЛ ТОВ
10377;УКРАЇНСЬКА МАШИНОБУДІВНА КОМПАНІЯ  НВП ТОВ
10380;СТАРТ-АП ТОВ
10383;Бондарчук Василь Іванович ФОП
10384;БЕЛОЦЕРКОВПОСТАЧСБУТ ТОВ
10385;Цацук Олег Васильович ФОП
10386;Клиент 10386
10387;УКРЭЛЕКТРОАППАРАТ ТОВ
10388;КВАДРАТ КР ТОВ новый дог
10389;Клиент 10389
10390;ЕДИНЫЕ СТРОИТЕЛЬНЫЕ РЕСУРСЫ ТОВ
10391;ЕКСПРЕС ПРУЖИНИ ТОВ
10393;Клиент 10393
10394;Клиент 10394
10395;Клиент 10395
10396;УКРАРМАІМПОРТ ТОВ
10397;ЗГАРДА ТД ТОВ
10399;Клиент 10399
10400;ДОРМАШ ГРУП
10401;Клиент 10401
10403;Клиент 10403
10405;Клиент 10405
10406;УКРАЇНСЬКА ПРОМИСЛОВА БАЗА
10409;Клиент 10409
10410;ВЕКТОР ІНЖЕНЕРНО-ВИРОБНИЧИЙ ЦЕНТР ПП
10411;ЕКОБУДІНВЕСТ БК ТОВ
10412;УКРТРУБОІЗОЛ НВП З ІІ ТОВ
10414;Клиент 10414
10415;ПЕРЕЧИНСЬКИЙ МЕХАНІЧНИЙ ЗАВОД ТОВ
10416;РЕММАШ ІТРЗ
10417;Дзядик Володимир Романович
10420;ВЕЛМАР ГРУП ТОВ
10421;Клиент 10421
10422;Клиент 10422
10423;Клиент 10423
10424;АРСЕНАЛ СЕРВІС ТОВ
10426;Клиент 10426
10428;СПЛАВ СМЦ ТОВ
10444;Клиент 10444
10457;Клиент 10457
10491;Клиент 10491
10512;Клиент 10512
10607;Клиент 10607
10658;Клиент 10658
11085;ЛЮБИМИЙ ДЕНИС БОРИСОВИЧ ФОП (аренда)
11120;РЕШЕТИЦЬКИЙ ІГОР ЛЕОНІДОВИЧ
11122;УКР БУД ТЕХНОЛОГІЇ ТОВ
11126;АТП 13058 ПАТ
11128;УЖГОРОДСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД
11130;ПОЛЮХОВИЧ ТАРАС АНАТОЛІЙОВИЧ
11132;ВІВА ВК ТОВ
11133;ДНІПРОПЕТРОВСЬКИЙ РАЙОННИЙ ВІЙСЬКОВИЙ КОМІСАРІАТ
11136;Лапчук Олег Ігорович ФОП
11139;ВИКТОРИЯ-КП ТОВ
11141;Домбровська Валентина Миколаївна ФОП
11143;ИНТЕРСТРОЙ ВП ТОВ
11144;КРАСМЕТ
11150;БАЗІС ЄВРОТРЕЙД ТОВ
11154;ТМ ЦКС
11156;ПІГРЕЙН
11158;ДАР 2018 ФГ
11159;ЯРОСЛАВА СФГ
11160;ІНПРОММАШ ТОВ
11162;АГРОПАРТ УКРАЇНА
11168;АНПЕК НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО
11169;Пуфлер Володимир Федорович
11171;ГК СТАЛЬ ТМК
11174;ДАВІД ПЛЮС
11175;Дударева Ірина Сергіївна
11179;Бєлих Дмитро Іванович
11182;АГРОТРАНС СМ
11183;ОСЬ Ж ПП
11186;ХОРЕСТ ТОВ
11187;ПЕРСПЕКШЕН
11188;АРТЕМІДА 1991 ТОВ
11189;УКРАЇНСЬКІ БУРОВІ МАШИНИ
11193;АКТА ПАТ
11194;МЕТАЛМАРКЕТ ГРУП ТОВ
11196;Альфа Композіт ТОВ
11197;Ковальов Максим Дмитрович ЧЛ
11198;ГЕТЬМАН ТВК ТОВ
11200;СТРІМТЕХ
11201;Ткачук Оксана Володимирівна
11202;МАРЕНОК СЕРГІЙ МИХАЙЛОВИЧ
11203;ПРОМРУДМАШ
11204;БІО ТРАНС СЕРВІС ТОВ
11205;Деус-Агро ТОВ
11209;Комарович Олег Миколайович ЧЛ
11210;ДВА Т ГРУП
11212;ЦКС ТРЕЙД
11214;ДАФМІ
11216;ТК КС ТОВ
11220;ДНІПРОВСЬКІ СІЛЬГОСПМАШИНИ ТОВ
11225;ФЕРРА ТРЕЙД
11226;МАКСИМА МЕТАЛ СЕРВІС ТОРГОВИЙ ДІМ
11228;Сталевий Двір
11229;ГОРСТАЛЬ ЗАВОД
11230;НЬЮЕРДЖІ ТОВ
11232;ПРОМУНІВЕРСАЛГРУП ТОВ
11239;СТАЛЬКОМПЛЕКТ + ТОВ
11240;Формокомплекти і запчастини ТОВ
11241;АМС 2021 ТОВ
11243;ЮНІТМАШ
11244;Днепромашпром НВП ТОВ
11245;ЕРИСТОВСКИЙ ГОК ТОВ
11246;АРСЕЛОР МЕТ ТОВ
11249;РУМЕТ ПП
11250;Савченко Ігор Юрійович ЧЛ
11252;Забайрачний Сергій Анатолійович ФОП
11253;Клиент 11253
11254;КЛЮЧ ФІРМА
11255;ЛОРТА ЛЬВІВСЬКИЙ ДЕРЖАВНИЙ ЗАВОД ДП
11256;Пирогова Олена Васильівна
11258;СТІЛМАГ ТОВ
11260;УКРГЕОЛОГІЯ ТОВ
11265;Клиент 11265
11268;Карниш Аліна Олександрівна
11269;УНІВЕРСАЛЬНІ БІЗНЕС МАШИНИ ТОВ
11270;АФК ІНВЕСТ
11273;Попєльнух Валерiй Васильович ЧЛ
11278;ГРЕЙН ЕНЕРДЖІ
11279;АГРО СПЕЦСЕРВІС ТОВ
11280;МАТЕРІУМ
11282;ПОЛІМЕТАЛ УКРАЇНА ТОВ  (Варто)
11284;ХАРКІВ ТРАКТОР ІНЖИНІРИНГ
11285;РТС ПРОМИСЛОВА ГРУПА
11286;Укрмотор трейд ТОВ
11287;КРАН.ЛТД ВИРОБНИЧЕ ПІДПРИЄМСТВО
11288;СОЛОМАХА АНДРІЙ ВОЛОДИМИРОВИЧ
11289;САБ ЕНТЕРПРАЙЗ
11292;МЕТАЛКАСТ
11293;ЕКСТРУДЕР НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО
11295;ТИМОФІЄВ ЄВГЕНІЙ ВАЛЕРІЙОВИЧ ФОП
11297;К42 ТОВ
11300;АРМАТУРНА МАЙСТЕРНЯ ТОВ
11301;Ковтун Олександр Миколайович
11306;Равлюк Павел Иванович ЧЛ
11309;ЕНЕРГІЯ
11310;Бражніков Володимир Анатолійович ФОП
11312;ТРИЗУБ ТД ПП (Перемога)
11317;АЛТЕКС КОМПАНІЯ
11320;ДНІПРО ЕЛЕКТРОСИЛА ТОВ
11321;ТИТАН-УКРАЇНА ВКП ТОВ
11324;ТСС УКРАЇНА
11325;УКРПРОММІНЕРАЛ
11329;ІНТЕКС СТІЛ ПЛЮС
11330;Завадський Олександр Станіславович ЧЛ
11331;АМЕГ УКРАЇНА
11333;Закарадзе З.З. ЧЛ
11338;МОНОЛІТ-ЦЕНТР ТОВ
11340;УКРІНМАШ ТОВ
11342;КОМПРЕСОРМАШ ТОВ НТФ
11343;МАРМЕТ ТОВ
11345;РЕЗОН ТОВ
11346;"SRL ""MIRZAGHITOV AND Co"" Молдова."
11348;АТОМПРОМСТАЛЬ
11354;ДНІПРОМЕТ ТД
11358;Сподобаєв Миколай Миколайович
11359;СТАЛЬКІНГ ТОВ
